"Hotel Name","City","Country","Original URL","Canonical URL","Status"
"21c Museum Hotel Louisville","Louisville","United States","https://www.booking.com/hotel/us/21c-museum.html","https://www.booking.com/hotel/us/21c-museum.html","Already canonical"
"Angkor Aurora","Siem Reap","Cambodia","https://www.booking.com/searchresults.html?ss=Angkor%20Aurora%20Siem%20Reap%20Cambodia","https://www.booking.com/hotel/kh/angkor-aurora.en-gb.html","Updated"
"Auberge Saint-Antoine","Quebec City","Canada","https://www.booking.com/hotel/ca/auberge-saint-antoine.html","https://www.booking.com/hotel/ca/auberge-saint-antoine.html","Already canonical"
"Bar Peepal Resort","Pokhara","Nepal","https://www.booking.com/searchresults.html?ss=Bar%20Peepal%20Resort%20Pokhara%20Nepal","https://www.booking.com/hotel/np/bar-peepal-resort.en-gb.html","Updated"
"Boton Blue Hotel & Spa","Nha Trang","Vietnam","https://www.booking.com/searchresults.html?ss=Boton%20Blue%20Hotel%20Spa%20Nha%20Trang%20Vietnam","https://www.booking.com/hotel/vn/boton-blue-nha-trang.en-gb.html","Updated"
"The Brown Hotel","Louisville","United States","https://www.booking.com/hotel/us/the-brown.html","https://www.booking.com/hotel/us/the-brown.html","Already canonical"
"Cartesiano Boutique & Wellness Hotel","Puebla","Mexico","https://www.booking.com/searchresults.html?ss=Cartesiano%20Boutique%20Wellness%20Hotel%20Puebla%20Mexico","https://www.booking.com/hotel/mx/cartesiano-puebla.en-gb.html","Updated"
"Casa Don Gustavo Boutique Hotel","Campeche","Mexico","https://www.booking.com/searchresults.html?ss=Casa%20Don%20Gustavo%20Boutique%20Hotel%20Campeche%20Mexico","https://www.booking.com/hotel/mx/casa-don-gustavo-boutique.en-gb.html","Updated"
"The Central Station Memphis, Curio Collection by Hilton","Memphis","United States","https://www.booking.com/hotel/us/the-central-station-memphis-curio-collection-by-hilton.html","https://www.booking.com/hotel/us/the-central-station-memphis-curio-collection-by-hilton.html","Already canonical"
"Graffit Gallery Design Hotel","Varna","Bulgaria","https://www.booking.com/searchresults.html?ss=Graffit%20Gallery%20Design%20Hotel%20Varna%20Bulgaria","https://www.booking.com/hotel/bg/graffit-gallery.en-gb.html","Updated"
"Grand Hotel Wagner","Palermo","Italy","https://www.booking.com/searchresults.html?ss=Grand%20Hotel%20Wagner%20Palermo","https://www.booking.com/hotel/it/grand-wagner.en-gb.html","Updated"
"Grand Hotel Yerevan","Yerevan","Armenia","https://www.booking.com/searchresults.html?ss=Grand%20Hotel%20Yerevan%20Armenia","https://www.booking.com/hotel/am/golden-tulip-yerevan.en-gb.html","Updated"
"The Hermitage, a Tribute Portfolio Hotel, Jakarta","Jakarta","Indonesia","https://www.booking.com/searchresults.html?ss=Hermitage%20Tribute%20Portfolio%20Hotel%20Jakarta%20Indonesia","https://www.booking.com/hotel/id/the-hermitage-menteng-jakarta-jakarta.en-gb.html","Updated"
"Hodelpa Nicolas de Ovando","Santo Domingo","Dominican Republic","https://www.booking.com/searchresults.html?ss=Hodelpa%20Nicolas%20de%20Ovando%20Santo%20Domingo","https://www.booking.com/hotel/do/nicolas-de-ovando-santo-domingo.en-gb.html","Updated"
"Hotel Bristol Palace","Genoa","Italy","https://www.booking.com/searchresults.html?ss=Hotel%20Bristol%20Palace%20Genoa","https://www.booking.com/hotel/it/bristol-palace.en-gb.html","Updated"
"Hotel de Bourgtheroulde, Autograph Collection","Rouen","France","https://www.booking.com/searchresults.html?ss=Hotel%20de%20Bourgtheroulde%20Rouen","https://www.booking.com/hotel/fr/de-bourgtheroulde.en-gb.html","Updated"
"Hotel de la Cite Carcassonne MGallery","Carcassonne","France","https://www.booking.com/searchresults.html?ss=Hotel%20de%20la%20Cite%20Carcassonne%20MGallery","https://www.booking.com/hotel/fr/hotel-de-la-cite.en-gb.html","Updated"
"Hotel Elephant Weimar, Autograph Collection","Weimar","Germany","https://www.booking.com/searchresults.html?ss=Hotel%20Elephant%20Weimar%20Autograph%20Collection%20Germany","https://www.booking.com/hotel/de/elephantweimarhotel.en-gb.html","Updated"
"Hotel Majapahit Surabaya – MGallery Collection","Surabaya","Indonesia","https://www.booking.com/searchresults.html?ss=Hotel%20Majapahit%20Surabaya%20MGallery%20Indonesia","https://www.booking.com/hotel/id/majapahit-surabaya.en-gb.html","Updated"
"Hotel Suitess","Dresden","Germany","https://www.booking.com/searchresults.html?ss=Hotel%20Suitess%20Dresden%20Germany","https://www.booking.com/hotel/de/suitess.en-gb.html","Updated"
"Hyatt Regency Tashkent","Tashkent","Uzbekistan","https://www.booking.com/searchresults.html?ss=Hyatt%20Regency%20Tashkent%20Uzbekistan","https://www.booking.com/hotel/uz/hyatt-regency-tashkent.en-gb.html","Updated"
"I'M Hotel Makati","Makati","Philippines","https://www.booking.com/searchresults.html?ss=IM%20Hotel%20Makati%20Philippines","https://www.booking.com/hotel/ph/i-39-m-and-residences.en-gb.html","Updated"
"Kimpton Blythswood Square Hotel & Spa","Glasgow","Scotland","https://www.booking.com/searchresults.html?ss=Kimpton%20Blythswood%20Square%20Glasgow","https://www.booking.com/hotel/gb/blythswood-square.en-gb.html","Updated"
"Kimpton Cottonwood Hotel","Omaha","United States","https://www.booking.com/hotel/us/kimpton-cottonwood.html","https://www.booking.com/hotel/us/kimpton-cottonwood.html","Already canonical"
"The Majestic Hotel Kuala Lumpur, Autograph Collection","Kuala Lumpur","Malaysia","https://www.booking.com/searchresults.html?ss=Majestic%20Hotel%20Kuala%20Lumpur%20Autograph%20Collection%20Malaysia","https://www.booking.com/hotel/my/the-majestic-kuala-lumpur.en-gb.html","Updated"
"Malak Regency Hotel","Sarajevo","Bosnia and Herzegovina","https://www.booking.com/searchresults.html?ss=Malak%20Regency%20Hotel%20Sarajevo%20Bosnia","https://www.booking.com/hotel/ba/malak-regency.en-gb.html","Updated"
"Mansion Merida Boutique Hotel","Merida","Mexico","https://www.booking.com/searchresults.html?ss=Mansion%20Merida%20Boutique%20Hotel%20Mexico","https://www.booking.com/hotel/mx/mansion-merida-on-the-park.en-gb.html","Updated"
"The Mayo Hotel","Tulsa","United States","https://www.booking.com/hotel/us/the-mayo.html","https://www.booking.com/hotel/us/the-mayo.html","Already canonical"
"Millennium Downtown Abu Dhabi","Abu Dhabi","United Arab Emirates","https://www.booking.com/searchresults.html?ss=Millennium%20Downtown%20Abu%20Dhabi%20UAE","https://www.booking.com/hotel/ae/millennium-plaza-downtown-abu-dhabi.en-gb.html","Updated"
"Municipal Hotel Liverpool, MGallery","Liverpool","England","https://www.booking.com/searchresults.html?ss=Municipal%20Hotel%20Liverpool%20MGallery","https://www.booking.com/hotel/gb/the-municipal-liverpool-mgallery.en-gb.html","Updated"
"Natura Cabana Boutique Hotel & Spa","Cabarete","Dominican Republic","https://www.booking.com/searchresults.html?ss=Natura%20Cabana%20Cabarete","https://www.booking.com/hotel/do/natura-cabana.en-gb.html","Updated"
"Perry Lane Hotel, a Luxury Collection Hotel","Savannah","United States","https://www.booking.com/hotel/us/perry-lane-a-luxury-collection-savannah.html","https://www.booking.com/hotel/us/perry-lane-a-luxury-collection-savannah.html","Already canonical"
